date,start_time,end_time,power
2023/03/28,16:38:00,16:43:00,6.72
2023/03/28,16:46:00,16:51:00,7.44
2023/03/28,16:53:30,16:58:30,8.52
2023/03/28,17:02:00,17:07:00,8.16
2023/03/28,17:09:45,17:14:45,9.24
2023/03/28,17:17:00,17:22:00,9.24
2023/03/28,17:25:00,17:30:00,7.92
2023/03/28,17:34:30,17:39:30,6
2023/03/29,10:02:00,10:07:00,9.504
2023/03/29,13:49:30,13:55:30,7.89
2023/03/29,13:57:30,14:02:30,8.052
2023/03/29,14:04:00,14:09:00,8.088
2023/03/29,14:13:00,14:18:00,7.632
2023/03/29,14:20:00,14:25:00,8.172
2023/03/29,14:28:15,14:33:15,8.292
2023/03/29,14:38:00,14:44:00,7.94
2023/03/29,14:46:00,14:51:00,8.172
2023/03/29,14:53:00,14:58:00,7.932
2023/03/29,15:04:00,15:09:00,7.944
2023/03/29,15:11:00,15:17:00,8.18
2023/03/29,15:20:00,15:25:00,8.16
2023/03/30,11:33:30,11:38:30,6.888
2023/03/30,11:40:30,11:45:30,6.972
2023/03/30,11:48:30,11:53:30,6.108
2023/03/30,12:01:00,12:06:00,6.828
2023/03/30,12:08:02,12:13:02,7.932
2023/03/30,12:19:30,12:24:30,6.168
2023/03/30,12:26:00,12:31:00,6.636
2023/03/30,12:32:30,12:37:30,7.428
2023/03/30,12:42:00,12:47:00,6.18
2023/03/30,12:49:00,12:54:00,6.78
2023/03/30,12:56:05,13:01:05,7.356
2023/03/30,13:56:30,14:01:30,6.42
2023/03/30,14:03:10,14:08:10,8.628
2023/03/30,14:10:00,14:15:00,8.004
2023/03/30,14:19:00,14:24:00,6.408
2023/03/30,14:25:30,14:30:30,8.496
2023/03/30,14:33:05,14:39:05,8.47
2023/03/30,14:42:50,14:47:50,6.372
2023/03/30,14:53:50,14:58:50,9.132
2023/03/30,15:01:10,15:06:10,8.508
2023/03/30,15:10:02,15:16:02,6.29
2023/03/30,15:18:30,15:23:30,9.696
2023/03/30,15:25:10,15:30:10,9.912
